;Site;PS1;PS2;Title
0;Jug Fuckers;gianna_michaels;maui_kane;gianna_gets_her_juggs_fucked
1;Jug Fuckers;misty_mason;No Name;big_titted_babe_misty_mason_gets_tit_fucked
2;Jug Fuckers;jenaveve_jolie;No Name;jenaveve_jolie_enjoys_a_busty_titty_fuck
3;Jug Fuckers;misti love;maui kane;big_natural_juggs
4;Jug Fuckers;tj_hart;anthony_rosano;this_slut_takes_a_cock_right_between_her_rack
5;Jug Fuckers;mary;No Name;newcomer_mary_gets_her_big_naturals_fucked
6;Jug Fuckers;carolyn_reese;No Name;wet_and_jucy
