,df_final_title,index_df_final,my_db_title,index_my_db,fuzzy_value,edited
278,dont_touch_her_6,1570,dont_touch_her,62,93,yes
279,dont_touch_her_6,1570,dont_touch_her,62,93,yes
280,dont_touch_her_6,1570,dont_touch_her_3,730,94,yes
284,dont_touch_her_5,1574,dont_touch_her,62,93,yes
285,dont_touch_her_5,1574,dont_touch_her,62,93,yes
286,dont_touch_her_5,1574,dont_touch_her_3,730,94,yes
287,dont_touch_her_5,1574,dont_touch_her_6,1654,94,yes
288,up_to_code_and_up_her_ass,1585,up_to_code_and_up_to_her_ass,56,94,yes
289,ass_in_heat_2,1590,ass_in_heat,67,92,yes
293,drilling_my_sergeant,1603,drilling_my_seagant,88,92,yes
296,yoga_freaks_episode_ten,1608,yoga_freaks_episode_two,8,91,yes
297,last_stop_buttfuck_nowhere,1609,last_stopp_buttfuck_nowhere,82,98,yes
300,7_year_anal,1621,7_years_anal,59,96,yes
308,the_horniest_woman_on_earth,1664,the_horniest_man_on_earth,1674,96,yes
313,the_ass_that_tails,1700,the_ass_that_trails,94,97,yes
323,dont_touch_her_8,1772,dont_touch_her,62,93,yes
324,dont_touch_her_8,1772,dont_touch_her,62,93,yes
325,dont_touch_her_8,1772,dont_touch_her_3,730,94,yes
326,dont_touch_her_8,1772,dont_touch_her_6,1654,94,yes
328,going_down_in_a_blaze_of_gloryholes,1775,going_down_in_a_blaze_of_glory_holes,63,99,yes
329,resisting_anal_arrest_pt_2,1793,resisting_anal_arrest_part_2,65,96,no
337,slut_hotel_part_2,1880,slut_hotel_part_3,1322,94,no
347,jasmines_at_the_laundromat,1949,jasmins_at_the_laundromat,18,98,no
354,what_really_happens_when_girls_go_to_the_bathroom_together,1993,what_really_happens_when_girls_go_to_the_bathroom_together_720,34,97,no
356,wet_titty_t_shirt_telethon,2018,wet_titty _t_shirt telethon,36,94,no
358,in_tit_pendence_day,2046,in_tit_dependence_day,22,95,no
362,hole_in_one,2061,a_hole_in_one,484,92,no
372,the_fucking,2188,the_fuckening,666,92,no
379,door_to_door_whore,2313,door_to_door_whores,990,97,no
380,boobie_cun_testant,2320,boobie_cunttestant,4,94,no
386,city_school_gangbang,2401,city_school_gang_bang,102,98,no
388,take_notes,2404,take_note,206,95,no
393,porn_logic_2,2415,porn_logic,275,91,no
396,nailing_ms_chase_part_two,2419,nailing_ms_chase_part_one,134,92,no
402,big_tits_in_history_part_3,2427,big_tits_in_history_part_2,127,96,no
403,big_tits_in_history_part_3,2427,big_tits_in_history_part_1,220,96,no
407,the_mathletes_part_two,2435,the_mathletes_part_one,152,91,no
416,nailing_ms_chase_part_one,2447,nailing_ms_chase_part_two,135,92,no
420,spanglish_lessons,2456,spanglish_lesson,203,97,no
421,no_student_teacher,2459,no_Student_teacher,224,94,no
427,big_tits_in_history_part_2,2471,big_tits_in_history_part_3,123,96,no
429,big_tits_in_history_part_2,2471,big_tits_in_history_part_1,220,96,no
433,the_mathletes_part_one,2476,the_mathletes_part_two,200,91,no
439,big_tits_in_history_part_1,2496,big_tits_in_history_part_3,123,96,no
440,big_tits_in_history_part_1,2496,big_tits_in_history_part_2,127,96,no
453,distracting_double_ds,2533,distracting_double_d_s,225,98,no
463,prom_whore_wars_part_one,2563,prom_whore_wars_part_two,177,92,no
464,foreva_a_fantasy,2568,foreva_fantasy,153,93,no
482,hairy_punter_and_his_enormous_boner,2622,harry_punter_and_his_enormous_boner,242,97,no
501,a_lesson_in_prison_lust,2679,a_lesson_in_prison_trust,101,94,no
504,simple_biology,2688,simply_biology,186,93,no
513,cultural_fetishism,2735,cultural_festishm,100,91,no
515,bra_presentation,2743,oral_presentation,145,91,no
533,office_4_play_vi,2906,office_4_play_iii,407,91,no
538,im_the_boss_now,2912,i_m_the_boss_now,355,97,no
540,the_new_girl_part_1,2914,the_new_girl_part_3,372,95,no
543,her_first_big_sale,2919,her_first_big_sale_2,296,95,no
554,testing_her_concentration_2,2938,testing_her_concentration,366,96,no
555,testing_her_concentration_2,2938,testing_her_concentration,366,96,no
561,the_new_girl_part_2,2949,the_new_girl_part_3,372,95,no
562,zz_courthouse_part_two,2951,zz_courthouse_part_one,267,91,no
564,zz_courthouse_part_two,2951,zz_courthouse_part_one,267,91,no
571,the_clumsy_intern,2970,the_clumpsy_intern,335,97,no
573,her_first_big_sale_2,2972,her_first_big_sale,423,95,no
575,eating_in_the_meeting,2974,eating_in_the_meating,399,95,no
583,acing_the_interview,2992,acting_the_interview,313,97,no
588,the_interns_turn,3003,the_intern_s_turn,354,97,no
589,testing_her_concentration_3,3004,testing_her_concentration,366,96,no
590,testing_her_concentration_3,3004,testing_her_concentration,366,96,no
592,sensual_harassment,3011,sexual_harassment,255,91,no
597,titty_heist_i_this_is_a_hold_up,3031,titty_heist_I_this_is_a_hold_up,289,97,no
603,titty_heist_ii_the_negotiator,3052,titty_heist_II_the_negotiator,288,93,no
612,office_4_play_iii,3076,office_4_play_vi,398,91,no
624,zz_courthouse_part_one,3090,zz_courthouse_part_two,397,91,no
